EventID;reader1;sample;AnnotationID;FishID;Number;mark;distance;pixelDistance;pixelsPerMillimeter;ices_area;stock_component;reader;IsApproved;strata;SampleID;tblLinesID;tblDotsID;Country
347;R02;47072;415300;FO_54_cal_0.5x12.5;2;1;5.174586357;243.2055588;47;27.2.a;Northern_component;R02 DK;1;27.2.a;FO_54_cal_0.5x12.5;409536;1084908;DENMARK
347;R02;47072;415300;FO_54_cal_0.5x12.5;2;2;6.729088038;316.2671378;47;27.2.a;Northern_component;R02 DK;1;27.2.a;FO_54_cal_0.5x12.5;409536;1084909;DENMARK
347;R02;47072;415300;FO_54_cal_0.5x12.5;2;3;7.666219706;360.3123262;47;27.2.a;Northern_component;R02 DK;1;27.2.a;FO_54_cal_0.5x12.5;409536;1084910;DENMARK
347;R02;47072;415300;FO_54_cal_0.5x12.5;2;4;8.390773976;394.3663769;47;27.2.a;Northern_component;R02 DK;1;27.2.a;FO_54_cal_0.5x12.5;409536;1084911;DENMARK
347;R02;47072;415300;FO_54_cal_0.5x12.5;2;5;9.178205907;431.3756776;47;27.2.a;Northern_component;R02 DK;1;27.2.a;FO_54_cal_0.5x12.5;409536;1084912;DENMARK
347;R02;47121;415335;Noruega_37510_2_cal_0.5x12.5;2;1;5.894223501;277.0285045;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37510_2_cal_0.5x12.5;409561;1085023;DENMARK
347;R02;47121;415335;Noruega_37510_2_cal_0.5x12.5;2;2;7.511720027;353.0508413;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37510_2_cal_0.5x12.5;409561;1085024;DENMARK
347;R02;47102;415382;Iceland_473415_77-22_cal_0.5x12.5;2;1;6.374524581;299.6026553;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Iceland_473415_77-22_cal_0.5x12.5;409582;1085143;DENMARK
347;R02;47124;415372;Noruega_37687_3_cal_0.5x12.5;2;1;6.216407974;292.1711748;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37687_3_cal_0.5x12.5;409577;1085116;DENMARK
347;R02;47124;415372;Noruega_37687_3_cal_0.5x12.5;2;2;7.28106946;342.2102646;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37687_3_cal_0.5x12.5;409577;1085117;DENMARK
347;R02;47124;415372;Noruega_37687_3_cal_0.5x12.5;2;3;7.940985995;373.2263418;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37687_3_cal_0.5x12.5;409577;1085118;DENMARK
347;R02;47124;415372;Noruega_37687_3_cal_0.5x12.5;2;4;8.558373933;402.2435748;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37687_3_cal_0.5x12.5;409577;1085119;DENMARK
347;R02;47124;415372;Noruega_37687_3_cal_0.5x12.5;2;5;9.004924205;423.2314377;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_37687_3_cal_0.5x12.5;409577;1085120;DENMARK
347;R02;47101;415376;Iceland_473413_75-14_cal_0.5x12.5;2;1;7.13683057;335.4310368;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Iceland_473413_75-14_cal_0.5x12.5;409578;1085121;DENMARK
347;R02;47101;415376;Iceland_473413_75-14_cal_0.5x12.5;2;2;8.01020722;376.4797394;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Iceland_473413_75-14_cal_0.5x12.5;409578;1085122;DENMARK
347;R02;47101;415376;Iceland_473413_75-14_cal_0.5x12.5;2;3;8.648767703;406.492082;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Iceland_473413_75-14_cal_0.5x12.5;409578;1085123;DENMARK
347;R02;47101;415376;Iceland_473413_75-14_cal_0.5x12.5;2;4;9.160899441;430.5622737;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Iceland_473413_75-14_cal_0.5x12.5;409578;1085124;DENMARK
347;R02;47126;416534;Noruega_23110_19_cal_0.5x12.5;2;1;6.148964561;289.0013344;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_23110_19_cal_0.5x12.5;410166;1088019;DENMARK
347;R02;47126;416534;Noruega_23110_19_cal_0.5x12.5;2;2;7.446928753;350.0056514;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_23110_19_cal_0.5x12.5;410166;1088020;DENMARK
347;R02;47126;416534;Noruega_23110_19_cal_0.5x12.5;2;3;7.829902467;368.0054159;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_23110_19_cal_0.5x12.5;410166;1088021;DENMARK
347;R02;47126;416534;Noruega_23110_19_cal_0.5x12.5;2;4;8.191599863;385.0051935;47;27.2.a;Northern_component;R02 DK;1;27.2.a;Noruega_23110_19_cal_0.5x12.5;410166;1088022;DENMARK
