sample,length,sex,catch_date,ices_area,year,qtr,month,cv,modal_age,R01 DE,R01 NO,R02 DE,R02 NO,R03 DK,R03 GB,R04 GB-SCT,R04 NL,R05 FR,R05 NO,R06 NO,R07 DK,R08 GB-SCT,R09 GB-SCT,R99 FR
535,170,U,2014-10-25,27.4.a,2014,4,10,47,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
536,175,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
537,175,U,2014-10-25,27.4.a,2014,4,10,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
538,175,U,2014-10-25,27.4.a,2014,4,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
539,180,U,2014-10-25,27.4.a,2014,4,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
545,135,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
546,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
547,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
548,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
549,145,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
550,145,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
551,145,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
552,150,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
553,150,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
554,155,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
555,155,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
556,160,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
557,160,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
558,165,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
559,165,U,2014-11-01,27.4.a,2014,4,11,47,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
560,165,U,2014-11-01,27.4.a,2014,4,11,35,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2
561,170,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
562,170,U,2014-11-01,27.4.a,2014,4,11,47,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
563,175,U,2014-11-01,27.4.a,2014,4,11,43,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1
564,180,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
565,180,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
566,180,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
567,185,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
568,185,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
581,135,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
582,140,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
583,140,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
584,145,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
585,150,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
586,150,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
587,155,U,2014-10-25,27.4.a,2014,4,10,35,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2
588,155,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
589,155,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
590,160,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
591,160,U,2014-10-25,27.4.a,2014,4,10,47,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
592,170,U,2014-10-25,27.4.a,2014,4,10,47,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
593,170,U,2014-10-25,27.4.a,2014,4,10,30,2,NA,2,NA,2,NA,NA,4,NA,NA,3,2,2,2,2,2
594,175,U,2014-10-25,27.4.a,2014,4,10,34,2,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,2,NA,1,1
595,175,U,2014-10-25,27.4.a,2014,4,10,0,2,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,2,2,2,2
596,175,U,2014-10-25,27.4.a,2014,4,10,16,2,NA,2,NA,2,2,NA,NA,NA,NA,3,2,2,2,2,2
597,180,U,2014-10-25,27.4.a,2014,4,10,0,2,NA,2,NA,2,2,NA,NA,NA,NA,2,2,2,2,2,2
598,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA
599,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
600,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA
601,110,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
602,120,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
603,135,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,1
604,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA
605,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,1
606,140,U,2014-11-01,27.4.a,2014,4,11,31,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,2,1,1
607,145,U,2014-11-01,27.4.a,2014,4,11,31,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,2,1,1
