sample,length,sex,catch_date,ices_area,year,qtr,month,cv,modal_age,R01 NO,R02 NO,R03 DK,R04 GB-SCT,R05 NO,R06 NO,R07 DK
535,170,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
536,175,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
537,175,U,2014-10-25,27.4.a,2014,4,10,NA,2,NA,NA,2,NA,NA,NA,NA
546,140,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,1,NA,NA,NA,1
547,140,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,1
548,140,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,1
549,145,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,1
550,145,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,1,NA,NA,NA,1
551,145,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,1,NA,NA,NA,1
552,150,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,1
553,150,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,NA,NA,1
554,155,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
555,155,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
557,160,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
558,165,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
559,165,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
560,165,U,2014-11-01,27.4.a,2014,4,11,47,2,NA,NA,1,NA,NA,NA,2
561,170,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
562,170,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,1,NA,NA,NA,NA
563,175,U,2014-11-01,27.4.a,2014,4,11,47,2,NA,NA,1,NA,NA,NA,2
564,180,U,2014-11-01,27.4.a,2014,4,11,NA,2,NA,NA,2,NA,NA,NA,NA
565,180,U,2014-11-01,27.4.a,2014,4,11,NA,2,NA,NA,2,NA,NA,NA,NA
566,180,U,2014-11-01,27.4.a,2014,4,11,NA,2,NA,NA,2,NA,NA,NA,NA
567,185,U,2014-11-01,27.4.a,2014,4,11,NA,2,NA,NA,2,NA,NA,NA,NA
568,185,U,2014-11-01,27.4.a,2014,4,11,NA,2,NA,NA,2,NA,NA,NA,NA
586,150,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
587,155,U,2014-10-25,27.4.a,2014,4,10,47,2,NA,NA,1,NA,NA,NA,2
588,155,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
589,155,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
590,160,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
591,160,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
592,170,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,1,NA,NA,NA,NA
593,170,U,2014-10-25,27.4.a,2014,4,10,19,2,2,2,NA,2,3,2,2
594,175,U,2014-10-25,27.4.a,2014,4,10,25,2,2,1,NA,NA,2,2,2
595,175,U,2014-10-25,27.4.a,2014,4,10,0,2,2,2,NA,NA,2,2,2
596,175,U,2014-10-25,27.4.a,2014,4,10,19,2,2,2,2,NA,3,2,2
597,180,U,2014-10-25,27.4.a,2014,4,10,0,2,2,2,2,NA,2,2,2
598,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,1
599,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,1
600,105,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,1
601,110,U,2014-11-01,27.4.a,2014,4,11,NA,1,NA,NA,NA,NA,1,NA,NA
602,120,U,2014-11-01,27.4.a,2014,4,11,0,1,NA,NA,NA,NA,1,NA,1
603,135,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,1
604,140,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,NA,NA,1,1,NA
605,140,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,NA
606,140,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,NA
607,145,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,NA
608,145,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,NA,NA,1,1,NA
609,145,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,NA,NA,1,1,NA
610,150,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,NA
611,150,U,2014-11-01,27.4.a,2014,4,11,0,1,1,1,1,NA,1,1,NA
612,155,U,2014-11-01,27.4.a,2014,4,11,20,2,2,2,NA,NA,3,2,2
613,155,U,2014-11-01,27.4.a,2014,4,11,25,2,1,2,NA,NA,2,2,2
614,160,U,2014-11-01,27.4.a,2014,4,11,39,1,1,1,1,NA,2,2,NA
615,160,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,2
616,165,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,2
617,165,U,2014-11-01,27.4.a,2014,4,11,0,2,NA,2,NA,NA,2,2,2
618,165,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,NA
619,170,U,2014-11-01,27.4.a,2014,4,11,20,2,2,2,NA,NA,3,2,2
620,170,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,2
621,175,U,2014-11-01,27.4.a,2014,4,11,29,2,2,2,NA,NA,2,1,NA
622,180,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,2
623,180,U,2014-11-01,27.4.a,2014,4,11,20,2,2,2,NA,NA,3,2,2
624,180,U,2014-11-01,27.4.a,2014,4,11,23,2,3,2,NA,NA,3,2,NA
625,185,U,2014-11-01,27.4.a,2014,4,11,0,2,2,2,NA,NA,2,2,2
626,185,U,2014-11-01,27.4.a,2014,4,11,23,2,3,2,NA,NA,3,2,2
